component_name,particle,bin_id,direction_tag,theta_min_deg,theta_max_deg,theta_mid_deg,mu_high,mu_low,mu_mid,delta_omega_sr,black_hole_mode,energy_unit_raw,energy_unit_cosima,flux_unit_raw,integral_per_sr_cm2_s,flux_cm2_s,raw_spectrum_path,cosima_spectrum_path,source_file,expacs_lat_deg,expacs_lon_deg,expacs_altitude_km,expacs_Rc_GV,W_or_date
Atm_gamma_bin00_down,gamma,00,atm_down,0.000000,25.841933,18.194872,1.000000,0.900000,0.950000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,6.881454414206e-02,4.323745326736e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin00_theta18.19_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin00_theta18.19_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin01_down,gamma,01,atm_down,25.841933,36.869898,31.788331,0.900000,0.800000,0.850000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,9.065438885628e-02,5.695983240931e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin01_theta31.79_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin01_theta31.79_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin02_down,gamma,02,atm_down,36.869898,45.572996,41.409622,0.800000,0.700000,0.750000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,1.133305026863e-01,7.120765493338e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin02_theta41.41_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin02_theta41.41_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin03_down,gamma,03,atm_down,45.572996,53.130102,49.458398,0.700000,0.600000,0.650000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,1.370720595258e-01,8.612491504375e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin03_theta49.46_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin03_theta49.46_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin04_down,gamma,04,atm_down,53.130102,60.000000,56.632987,0.600000,0.500000,0.550000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,1.622103834053e-01,1.019197897684e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin04_theta56.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin04_theta56.63_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin05_down,gamma,05,atm_down,60.000000,66.421822,63.256316,0.500000,0.400000,0.450000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,1.892532513021e-01,1.189113247918e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin05_theta63.26_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin05_theta63.26_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin06_down,gamma,06,atm_down,66.421822,72.542397,69.512685,0.400000,0.300000,0.350000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,2.190451814656e-01,1.376301465793e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin06_theta69.51_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin06_theta69.51_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin07_down,gamma,07,atm_down,72.542397,78.463041,75.522488,0.300000,0.200000,0.250000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,2.531758651329e-01,1.590750875935e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin07_theta75.52_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin07_theta75.52_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin08_down,gamma,08,atm_down,78.463041,84.260830,81.373073,0.200000,0.100000,0.150000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,2.953507814677e-01,1.855743690582e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin08_theta81.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin08_theta81.37_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin09_down,gamma,09,atm_down,84.260830,90.000000,87.134016,0.100000,0.000000,0.050000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,3.598666322402e-01,2.261108736236e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin09_theta87.13_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin09_theta87.13_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin10_up,gamma,10,atm_up_albedo_like,90.000000,95.739170,92.865984,0.000000,-0.100000,-0.050000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,7.404378927360e-01,4.652308488518e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin10_theta92.87_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin10_theta92.87_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin11_up,gamma,11,atm_up_albedo_like,95.739170,101.536959,98.626927,-0.100000,-0.200000,-0.150000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,6.637046959063e-01,4.170179593624e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin11_theta98.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin11_theta98.63_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin12_up,gamma,12,atm_up_albedo_like,101.536959,107.457603,104.477512,-0.200000,-0.300000,-0.250000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,6.200654473285e-01,3.895986108144e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin12_theta104.48_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin12_theta104.48_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin13_up,gamma,13,atm_up_albedo_like,107.457603,113.578178,110.487315,-0.300000,-0.400000,-0.350000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.885450647189e-01,3.697937703255e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin13_theta110.49_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin13_theta110.49_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin14_up,gamma,14,atm_up_albedo_like,113.578178,120.000000,116.743684,-0.400000,-0.500000,-0.450000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.638182634444e-01,3.542574628794e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin14_theta116.74_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin14_theta116.74_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin15_up,gamma,15,atm_up_albedo_like,120.000000,126.869898,123.367013,-0.500000,-0.600000,-0.550000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.436232203254e-01,3.415685430590e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin15_theta123.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin15_theta123.37_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin16_up,gamma,16,atm_up_albedo_like,126.869898,134.427004,130.541602,-0.600000,-0.700000,-0.650000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.267651324799e-01,3.309762940732e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin16_theta130.54_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin16_theta130.54_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin17_up,gamma,17,atm_up_albedo_like,134.427004,143.130102,138.590378,-0.700000,-0.800000,-0.750000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.125278296904e-01,3.220307329032e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin17_theta138.59_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin17_theta138.59_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin18_up,gamma,18,atm_up_albedo_like,143.130102,154.158067,148.211669,-0.800000,-0.900000,-0.850000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.004446529640e-01,3.144386490560e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin18_theta148.21_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin18_theta148.21_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_gamma_bin19_up,gamma,19,atm_up_albedo_like,154.158067,180.000000,161.805128,-0.900000,-1.000000,-0.950000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,4.901928629095e-01,3.079972593917e-01,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_gamma_bin19_theta161.81_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/gamma_bin19_theta161.81_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin00_down,n,00,atm_down,0.000000,25.841933,18.194872,1.000000,0.900000,0.950000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,9.735023159573e-03,6.116695448128e-03,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin00_theta18.19_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin00_theta18.19_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin01_down,n,01,atm_down,25.841933,36.869898,31.788331,0.900000,0.800000,0.850000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,1.145955121981e-02,7.200248385120e-03,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin01_theta31.79_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin01_theta31.79_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin02_down,n,02,atm_down,36.869898,45.572996,41.409622,0.800000,0.700000,0.750000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,1.328599738655e-02,8.347838357042e-03,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin02_theta41.41_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin02_theta41.41_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin03_down,n,03,atm_down,45.572996,53.130102,49.458398,0.700000,0.600000,0.650000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,1.523708484911e-02,9.573742764815e-03,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin03_theta49.46_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin03_theta49.46_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin04_down,n,04,atm_down,53.130102,60.000000,56.632987,0.600000,0.500000,0.550000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,1.734520458112e-02,1.089831345741e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin04_theta56.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin04_theta56.63_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin05_down,n,05,atm_down,60.000000,66.421822,63.256316,0.500000,0.400000,0.450000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,1.965926159870e-02,1.235227836269e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin05_theta63.26_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin05_theta63.26_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin06_down,n,06,atm_down,66.421822,72.542397,69.512685,0.400000,0.300000,0.350000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,2.225928092012e-02,1.398591868257e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin06_theta69.51_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin06_theta69.51_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin07_down,n,07,atm_down,72.542397,78.463041,75.522488,0.300000,0.200000,0.250000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,2.529312952279e-02,1.589214197902e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin07_theta75.52_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin07_theta75.52_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin08_down,n,08,atm_down,78.463041,84.260830,81.373073,0.200000,0.100000,0.150000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,2.909756686779e-02,1.828254046184e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin08_theta81.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin08_theta81.37_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin09_down,n,09,atm_down,84.260830,90.000000,87.134016,0.100000,0.000000,0.050000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,3.492356391577e-02,2.194312236699e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin09_theta87.13_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin09_theta87.13_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin10_up,n,10,atm_up_albedo_like,90.000000,95.739170,92.865984,0.000000,-0.100000,-0.050000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.502195021704e-02,3.457131091761e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin10_theta92.87_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin10_theta92.87_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin11_up,n,11,atm_up_albedo_like,95.739170,101.536959,98.626927,-0.100000,-0.200000,-0.150000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.416526392635e-02,3.403303904615e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin11_theta98.63_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin11_theta98.63_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin12_up,n,12,atm_up_albedo_like,101.536959,107.457603,104.477512,-0.200000,-0.300000,-0.250000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.379433187966e-02,3.379997556758e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin12_theta104.48_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin12_theta104.48_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin13_up,n,13,atm_up_albedo_like,107.457603,113.578178,110.487315,-0.300000,-0.400000,-0.350000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.359130548666e-02,3.367241032263e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin13_theta110.49_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin13_theta110.49_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin14_up,n,14,atm_up_albedo_like,113.578178,120.000000,116.743684,-0.400000,-0.500000,-0.450000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.347963733513e-02,3.360224715374e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin14_theta116.74_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin14_theta116.74_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin15_up,n,15,atm_up_albedo_like,120.000000,126.869898,123.367013,-0.500000,-0.600000,-0.550000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.342762611270e-02,3.356956753888e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin15_theta123.37_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin15_theta123.37_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin16_up,n,16,atm_up_albedo_like,126.869898,134.427004,130.541602,-0.600000,-0.700000,-0.650000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.341844049335e-02,3.356379604403e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin16_theta130.54_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin16_theta130.54_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin17_up,n,17,atm_up_albedo_like,134.427004,143.130102,138.590378,-0.700000,-0.800000,-0.750000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.344138989967e-02,3.357821558128e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin17_theta138.59_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin17_theta138.59_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin18_up,n,18,atm_up_albedo_like,143.130102,154.158067,148.211669,-0.800000,-0.900000,-0.850000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.348844020410e-02,3.360777815944e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin18_theta148.21_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin18_theta148.21_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
Atm_n_bin19_up,n,19,atm_up_albedo_like,154.158067,180.000000,161.805128,-0.900000,-1.000000,-0.950000,0.6283185307,No,MeV,keV_total,cm^-2 s^-1 MeV^-1 sr^-1,5.355245785002e-02,3.364800163266e-02,expacs_fullsphere_20bin_sources/raw_expacs/spectrum_n_bin19_theta161.81_BHNo.dat,expacs_fullsphere_20bin_sources/cosima_spectra/n_bin19_theta161.81_pdf.dat,expacs_fullsphere_20bin_sources/Background_atm_fullsphere_allparticles_20bins.source,34.000000,100.000000,38.000000,11.6,2025-08-31; W=118.3
