category,unit,material,density_g_cm3,volume_cm3,mass_kg,notes
substrate,Substrate_L0,Silicon,2.329,0.456159253301238,0.0010623949009385834,Si substrate mass behind TES layer.
substrate,Substrate_L1,Silicon,2.329,0.456159253301238,0.0010623949009385834,Si substrate mass behind TES layer.
substrate,Substrate_L2,Silicon,2.329,0.456159253301238,0.0010623949009385834,Si substrate mass behind TES layer.
substrate,Substrate_L3,Silicon,2.329,0.456159253301238,0.0010623949009385834,Si substrate mass behind TES layer.
substrate,Substrate_L4,Silicon,2.329,0.456159253301238,0.0010623949009385834,Si substrate mass behind TES layer.
substrate,Substrate_L5,Silicon,2.329,0.456159253301238,0.0010623949009385834,Si substrate mass behind TES layer.
detector,TES pixels (6x376),Ta,16.69,15.228,0.25415532,Ta absorber array; same footprint convention as current authority.
window,SampleBox_Al_Window,Aluminium,2.7,0.028293214854156208,7.639168010622177e-05,"Very thin Al foil placeholder; nominal only, open-aperture scan recommended."
can,Nb_SC_Detector_Can,Nb,8.57,9.65020177923861,0.0827022292480749,Open-bottom Nb superconducting can; top aperture is open in the nominal demo.
service_proxy,SQUID_Readout_Al_Box,Aluminium,2.7,2.2399999999999998,0.006048,Readout/support box proxy offset from aperture in the 4 K to 60 K radial gap.
service_proxy,Harness_Cu_Bundle_A,Copper,8.96,1.3439999999999999,0.01204224,Cu harness/strap proxy.
service_proxy,Harness_Cu_Bundle_B,Copper,8.96,1.3439999999999999,0.01204224,Cu harness/strap proxy.
service_proxy,Support_G10_Post_A,G10,1.85,0.29184000000000004,0.0005399040000000001,Low-Z support post in the 60 K shield to vacuum-jacket radial gap.
service_proxy,Support_G10_Post_B,G10,1.85,0.29184000000000004,0.0005399040000000001,Low-Z support post in the 60 K shield to vacuum-jacket radial gap.
service_proxy,Support_G10_Post_C,G10,1.85,0.29184000000000004,0.0005399040000000001,Low-Z support post in the 60 K shield to vacuum-jacket radial gap.
service_proxy,Support_G10_Post_D,G10,1.85,0.29184000000000004,0.0005399040000000001,Low-Z support post in the 60 K shield to vacuum-jacket radial gap.
shield_packaging,ActiveShield_Al_Backplane_Liner,Aluminium,2.7,362.188719245222,0.9779095419620994,Thin Al support liner/readout backplane in the radial clearance outside the segmented CsI well.
shield_packaging,ActiveShield_Top_Al_Retainer,Aluminium,2.7,2.1330157480813337,0.0057591425198196015,"Upper scintillator-retainer collar below the outer Al cover, outside the open 1.898 cm optical path."
shield_packaging,ActiveShield_Bottom_Al_Retainer,Aluminium,2.7,1.7330752953161161,0.004679303297353514,Lower scintillator-retainer collar below the CsI bottom panels and inside the outer Al cover.
shield_packaging,ActiveShield_Flex_Readout_Kapton,Kapton,1.42,136.55655035138676,0.1939103014989692,Flexible readout/cable-layer proxy on the outside of the CsI package.
shield_packaging,ActiveShield_Readout_Box_XP,Aluminium,2.7,6.115200000000001,0.01651104,External active-shield readout/electronics box proxy outside the outer Al cover.
shield_packaging,ActiveShield_Readout_Box_XM,Aluminium,2.7,6.115200000000001,0.01651104,External active-shield readout/electronics box proxy outside the outer Al cover.
shield_packaging,ActiveShield_Readout_Box_YP,Aluminium,2.7,6.115200000000001,0.01651104,External active-shield readout/electronics box proxy outside the outer Al cover.
shield_packaging,ActiveShield_Readout_Box_YM,Aluminium,2.7,6.115200000000001,0.01651104,External active-shield readout/electronics box proxy outside the outer Al cover.
shield_packaging,Shield_Feedthrough_Stainless_XP,StainlessSteel,8.0,0.311808,0.0024944639999999996,Small stainless feedthrough/connector proxy outside the active-shield cover.
shield_packaging,Shield_Feedthrough_Stainless_XM,StainlessSteel,8.0,0.311808,0.0024944639999999996,Small stainless feedthrough/connector proxy outside the active-shield cover.
active_shield_side,CsI_Active_Shield_Side00,CsI,4.51,1033.4740272881663,4.66096786306963,One of eight CsI side-panel segments.
active_shield_side,CsI_Active_Shield_Side01,CsI,4.51,1033.4740272881663,4.66096786306963,One of eight CsI side-panel segments.
active_shield_side,CsI_Active_Shield_Side02,CsI,4.51,1033.4740272881663,4.66096786306963,One of eight CsI side-panel segments.
active_shield_side,CsI_Active_Shield_Side03,CsI,4.51,1033.4740272881663,4.66096786306963,One of eight CsI side-panel segments.
active_shield_side,CsI_Active_Shield_Side04,CsI,4.51,1033.4740272881663,4.66096786306963,One of eight CsI side-panel segments.
active_shield_side,CsI_Active_Shield_Side05,CsI,4.51,1033.4740272881663,4.66096786306963,One of eight CsI side-panel segments.
active_shield_side,CsI_Active_Shield_Side06,CsI,4.51,1033.4740272881663,4.66096786306963,One of eight CsI side-panel segments.
active_shield_side,CsI_Active_Shield_Side07,CsI,4.51,1033.4740272881663,4.66096786306963,One of eight CsI side-panel segments.
active_shield_bottom,CsI_Active_Shield_Bottom00,CsI,4.51,1240.3164876005183,5.593827359078338,One of four CsI bottom-panel segments.
active_shield_bottom,CsI_Active_Shield_Bottom01,CsI,4.51,1240.3164876005183,5.593827359078338,One of four CsI bottom-panel segments.
active_shield_bottom,CsI_Active_Shield_Bottom02,CsI,4.51,1240.3164876005183,5.593827359078338,One of four CsI bottom-panel segments.
active_shield_bottom,CsI_Active_Shield_Bottom03,CsI,4.51,1240.3164876005183,5.593827359078338,One of four CsI bottom-panel segments.
active_shield_top,CsI_Active_Shield_Top00,CsI,4.51,152.2102394646492,0.6864681799855679,One of eight CsI top-annulus segments.
active_shield_top,CsI_Active_Shield_Top01,CsI,4.51,152.2102394646492,0.6864681799855679,One of eight CsI top-annulus segments.
active_shield_top,CsI_Active_Shield_Top02,CsI,4.51,152.2102394646492,0.6864681799855679,One of eight CsI top-annulus segments.
active_shield_top,CsI_Active_Shield_Top03,CsI,4.51,152.2102394646492,0.6864681799855679,One of eight CsI top-annulus segments.
active_shield_top,CsI_Active_Shield_Top04,CsI,4.51,152.2102394646492,0.6864681799855679,One of eight CsI top-annulus segments.
active_shield_top,CsI_Active_Shield_Top05,CsI,4.51,152.2102394646492,0.6864681799855679,One of eight CsI top-annulus segments.
active_shield_top,CsI_Active_Shield_Top06,CsI,4.51,152.2102394646492,0.6864681799855679,One of eight CsI top-annulus segments.
active_shield_top,CsI_Active_Shield_Top07,CsI,4.51,152.2102394646492,0.6864681799855679,One of eight CsI top-annulus segments.
outer_shell,Outer_Al_Mech_Shell,Aluminium,2.7,939.9598698836639,2.537891648685893,Outer cover/support outside segmented CsI panels; not a pressure boundary.
window,Win_Be_Cryostat,Be,1.85,0.16975928912493723,0.00031405468488113393,"Current Be-window transport convention retained: r=1.898 cm, t=0.015 cm."
window,Win_Vacuum_Al_Filter,Aluminium,2.7,0.03395185782498745,9.167001612746611e-05,Thin Al-equivalent vacuum/filter foil outside the Be window; conservative low-Z filter-stack proxy.
collimator,W_Collimator_Aperture_Stop,W,19.3,1.8873419459335432,0.03642569955651739,Overlap-safe W annular aperture stop retained only as first passive entrance aperture proxy; not a Laue optic.
cold_plate,ColdPlate_MXC_50mK_Retained,Copper,8.96,31.808625617596654,0.28500528553366605,Retained 50 mK/MXC detector mounting plate; TES/sample box/Nb/Cryoperm clearances are unchanged.
cold_plate,ColdPlate_Still_0p7K_SDEnvelope,Copper,8.96,91.92692803485434,0.8236652751922949,Still / ~0.7 K intercept plate enlarged for service clearance.
cold_plate,ColdPlate_4K_SDEnvelope,Copper,8.96,131.4238162739486,1.1775573938145796,4 K condenser / pulse-tube intercept plate enlarged for DR service routing.
cold_plate,ColdPlate_60K_SDEnvelope,Aluminium,2.7,154.38257538638283,0.41683295354323363,50/60 K radiation and pulse-tube first-stage plate; still inside unchanged CsI well.
cryostat_shell,Thermal_MXC_50mK_Al_Shield_Retained,Aluminium,2.7,34.13269945918906,0.09215828853981047,"Retained innermost MXC/50 mK detector radiation can; SD-scale DR flange is placed below this can, not through it."
cryostat_shell,Thermal_Still_0p7K_Al_Shield_SDEnvelope,Aluminium,2.7,155.11114063071295,0.41880007970292504,Still-stage radiation can; previous 1 K layer reinterpreted and enlarged.
cryostat_shell,Thermal_4K_Al_Shield_SDEnvelope,Aluminium,2.7,227.01701309483212,0.6129459353560468,4 K radiation shield enlarged to carry condenser/line clearance.
cryostat_shell,Thermal_60K_Al_Shield_SDEnvelope,Aluminium,2.7,300.98188513278717,0.8126510898585254,"50/60 K shield in the unchanged-CsI compact envelope; radial gap to the vacuum jacket is only 1.5 mm, so this is a tight nominal and should be paired with an expanded-CsI systematic."
cryostat_shell,Vacuum_Jacket_Al_SDEnvelope,Aluminium,2.7,443.45554607907144,1.1973299744134929,Vacuum jacket enlarged but still kept inside the unchanged active CsI well.
window,Win_MXC_50mK_Al_Shield,Aluminium,2.7,0.028293214854156208,7.639168010622177e-05,Thin Al thermal/optical blocking foil across the MXC can aperture.
window,Win_Still_0p7K_Al_Shield,Aluminium,2.7,0.028293214854156208,7.639168010622177e-05,Thin Al thermal/optical blocking foil across the still-stage aperture.
window,Win_4K_Al_Shield_SDEnvelope,Aluminium,2.7,0.028293214854156208,7.639168010622177e-05,Thin Al thermal/optical blocking foil across the 4 K aperture.
window,Win_60K_Al_Shield_SDEnvelope,Aluminium,2.7,0.028293214854156208,7.639168010622177e-05,Thin Al thermal/optical blocking foil across the 60 K aperture.
cryostat_passive,Vacuum_Jacket_Al_Reinforcement_SDEnvelope,Aluminium,2.7,153.62388076054,0.41478447805345803,Reinforcement sleeve adjusted around the enlarged vacuum jacket.
cryostat_passive,Vacuum_Top_Flange_Al_SDEnvelope,Aluminium,2.7,2.342980951491341,0.006326048569026622,Top flange/collar mass below active-shield top; kept under r=10 cm.
cryostat_passive,Vacuum_Bottom_Flange_Al_SDEnvelope,Aluminium,2.7,5.020673467481444,0.013555818362199901,Bottom flange/collar mass above active-shield bottom; service-port systematic handled separately.
passive_shield,Passive_Cu_Inner_Liner_SDEnvelope,Copper,8.96,111.18724719585055,0.9962377348748209,"Nearest passive liner remains Cu, not W, after shield enlargement."
passive_shield,Passive_W_Outer_Liner_SDEnvelope,W,19.3,120.1847685557304,2.319566033125597,Outer high-Z side liner; still kept outside Cu and below active-shield inner radius.
passive_shield,Passive_Bottom_W_Shield_SDEnvelope,W,19.3,83.13502391415064,1.6045059615431074,"Bottom W shield retained; no actual through-port cut in nominal, only port systematic note."
passive_shield,Passive_Top_W_Aperture_Annulus_SDEnvelope,W,19.3,58.94099057032491,1.1375611180072709,Top annular W aperture stop retained; Be/window radius still 1.898 cm.
dr_passive,DR_MXC_Flange_Cu_SDEnvelope,Copper,8.96,84.85834456427729,0.7603307672959246,SD-class local MXC flange proxy (≈147 mm diameter) placed below the unchanged TES/sample-box region.
dr_passive,DR_MixingChamber_Cu,Copper,8.96,9.5421949861973,0.08549806707632782,Mixing chamber body below MXC flange; separated from Cryoperm and plate bottoms by explicit clearance.
dr_passive,DR_MXC_Sinter_HEX_AgProxy,SilverSinterProxy,5.0,7.245298057341461,0.036226490286707304,Porous sintered Ag / step HEX proxy near MXC; ring geometry avoids sample-box axis.
dr_passive,DR_Still_Pot_Cu,Copper,8.96,9.428704951586369,0.08448119636621386,Still pot below still plate; does not pierce the plate in v2.1.
dr_passive,DR_Continuous_HEX_CuNi_EQ,CuNi,8.9,19.100883333825948,0.16999786167105094,Continuous CuNi heat-exchanger equivalent mass in the still-to-4K cavity.
dr_passive,DR_4K_Condenser_Cu,Copper,8.96,10.681415022205297,0.09570547859895948,"4 K condenser/cold-finger mass below 4 K plate, with clearance."
dr_passive,DR_50K_CharcoalTrap_Proxy,CharcoalTrapProxy,1.2,16.421733118844564,0.019706079742613476,Internal charcoal/cryotrap effective mass near 50/60 K intercept; no plate overlap.
service_proxy,DR_CuNi_Capillary_MXC_to_Still,CuNi,8.9,1.850555152597072,0.01646994085811394,Segmented CuNi inlet/return capillary; v2.1 avoids one long volume crossing plates.
service_proxy,DR_CuNi_Capillary_Still_to_4K,CuNi,8.9,3.0133371335069987,0.02681870048821229,Segmented CuNi capillary between still and 4 K cavities.
service_proxy,DR_CuNi_Capillary_4K_to_60K,CuNi,8.9,2.4158651156564592,0.02150119952934249,Segmented CuNi capillary between 4 K and 50/60 K regions; stopped below the 4 K shield bottom to avoid overlap.
service_proxy,DR_Precool_FlexLink_Cu_Still_to_4K,Copper,8.96,4.413623519028303,0.0395460667304936,Pre-cool/flex thermal link equivalent mass; not the ADR cyclic heat switch.
support_proxy,DR_MXC_to_Still_G10_Supports,G10,1.85,1.725111357939227,0.00319145601218757,"Sparse G10 stage supports, represented as annular equivalent mass."
support_proxy,DR_Still_to_4K_G10_Supports,G10,1.85,2.9676740842870766,0.005490197055931092,Sparse G10 stage supports between still and 4 K regions.
support_proxy,DR_4K_to_60K_G10_Supports,G10,1.85,1.8894794855750594,0.0034955370483138602,Sparse G10 stage supports between 4 K and 50/60 K regions.
service_proxy,Readout_NbTi_SS_Cable_Bundle_MXC_to_4K,NbTiCableProxy,6.5,13.91097227009559,0.09042131975562133,Heavier readout cable proxy than v1; avoids passing through the still plate as one long solid.
service_proxy,Readout_NbTi_SS_Cable_Bundle_Still_to_MXC,NbTiCableProxy,6.5,8.746193947593992,0.05685026065936095,Segmented readout/service bundle in MXC-to-still gap.
sample_box,TES_SampleBox_Cryoperm,Cryoperm,8.7,74.78805979106369,0.650656120182254,"Cu64-fix sample box: Cryoperm material/function from the nearest magnetic-shield box, placed in the former TES_SampleBox_Cu envelope. Bottom has a center hole for a Cu thermal finger."
thermal_link,SampleBox_Cu_ThermalFinger_50mK,Copper,8.96,0.1507964473723101,0.0013511361684558987,Short Cu thermal finger through the new sample-box bottom hole; keeps a thermal path to the 50 mK/MXC plate while removing the large Cu box.
