VN,ZA,nuclide,action,nubase_line,csv_raw_value,csv_raw_unit,line_raw_value,line_raw_unit,reported_half_life_s,line_expected_half_life_s,line_rel_error,status
CsI_Bottom_Quadrant_03,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Bottom_Quadrant_00,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Bottom_Quadrant_02,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Bottom_Quadrant_01,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_00,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_07,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_01,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_06,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_05,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_02,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
ColdPlate_4K,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13028,Al-28,kept_rescaled,276,2.245,m,2.245,m,134.70000000000002,134.70000000000002,0.0,PASS
CsI_Side_Segment_04_below_side_port,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_03_below_side_port,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
Window,13028,Al-28,kept_rescaled,276,2.245,m,2.245,m,134.70000000000002,134.70000000000002,0.0,PASS
Window,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13028,Al-28,kept_rescaled,276,2.245,m,2.245,m,134.70000000000002,134.70000000000002,0.0,PASS
CsI_Side_Segment_03_above_side_port,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_Side_Segment_04_above_side_port,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13028,Al-28,kept_rescaled,276,2.245,m,2.245,m,134.70000000000002,134.70000000000002,0.0,PASS
CsI_TopAnnulus_Segment_07,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
Passive_W_Bottom_Plate_detector_bay,74187,W-187,kept_rescaled,4206,23.809,h,23.809,h,85712.40000000001,85712.40000000001,0.0,PASS
CsI_TopAnnulus_Segment_06,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_TopAnnulus_Segment_01,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
ColdPlate_Still_0p7K,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
CsI_TopAnnulus_Segment_00,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_TopAnnulus_Segment_05,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_TopAnnulus_Segment_02,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_TopAnnulus_Segment_03,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
CsI_TopAnnulus_Segment_04,53128,I-128,kept_rescaled,2498,24.99,m,24.99,m,1499.3999999999999,1499.3999999999999,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13028,Al-28,kept_rescaled,276,2.245,m,2.245,m,134.70000000000002,134.70000000000002,0.0,PASS
Plate_300K_Top_Service_Lid,13028,Al-28,kept_rescaled,276,2.245,m,2.245,m,134.70000000000002,134.70000000000002,0.0,PASS
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,12027,Mg-27,kept_rescaled,263,9.435,m,9.435,m,566.1,566.1,0.0,PASS
ColdPlate_CP_100mK_intercept,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
ColdPlate_4K,29066,Cu-66,kept_rescaled,951,5.120,m,5.120,m,307.2,307.2,0.0,PASS
DR_MXC_Sinter_HEX_AgProxy,47110,Ag-110,kept_rescaled,1954,24.56,s,24.56,s,24.56,24.56,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,12027,Mg-27,kept_rescaled,263,9.435,m,9.435,m,566.1,566.1,0.0,PASS
ColdPlate_MXC_50mK_SD_anchor,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
Nb_MagShield_Inner_Cylinder_2mm,41094,Nb-94,kept_rescaled,1563,20.4,ky,20.4,ky,643775040000.0,643775040000.0,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13028,Al-28,kept_rescaled,276,2.245,m,2.245,m,134.70000000000002,134.70000000000002,0.0,PASS
ColdPlate_60K,13028,Al-28,kept_rescaled,276,2.245,m,2.245,m,134.70000000000002,134.70000000000002,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,12027,Mg-27,kept_rescaled,263,9.435,m,9.435,m,566.1,566.1,0.0,PASS
Plate_300K_Top_Service_Lid,12027,Mg-27,kept_rescaled,263,9.435,m,9.435,m,566.1,566.1,0.0,PASS
DR_MXC_Sinter_HEX_AgProxy,47108,Ag-108,kept_rescaled,1908,2.382,m,2.382,m,142.92000000000002,142.92000000000002,0.0,PASS
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,13026,Al-26,kept_rescaled,252,717,ky,717,ky,22626799200000.0,22626799200000.0,0.0,PASS
ColdPlate_Still_0p7K,29066,Cu-66,kept_rescaled,951,5.120,m,5.120,m,307.2,307.2,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,12027,Mg-27,kept_rescaled,263,9.435,m,9.435,m,566.1,566.1,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,12027,Mg-27,kept_rescaled,263,9.435,m,9.435,m,566.1,566.1,0.0,PASS
NbTi_Bundle_4K_60K,41094,Nb-94,kept_rescaled,1563,20.4,ky,20.4,ky,643775040000.0,643775040000.0,0.0,PASS
Window,12027,Mg-27,kept_rescaled,263,9.435,m,9.435,m,566.1,566.1,0.0,PASS
Window,13026,Al-26,kept_rescaled,252,717,ky,717,ky,22626799200000.0,22626799200000.0,0.0,PASS
NbTi_Bundle_Still_4K,41094,Nb-94,kept_rescaled,1563,20.4,ky,20.4,ky,643775040000.0,643775040000.0,0.0,PASS
Window,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,13026,Al-26,kept_rescaled,252,717,ky,717,ky,22626799200000.0,22626799200000.0,0.0,PASS
DR_Still_Pot_Cu,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
CsI_Bottom_Quadrant_03,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Bottom_Quadrant_00,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11024,Na-24,kept_rescaled,223,14.9560,h,14.9560,h,53841.6,53841.6,0.0,PASS
Cu_50mK_StillLike_Can_bottom_cap_2mm,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
Cu_50mK_StillLike_Can_side_wall_above_side_port,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
CsI_Bottom_Quadrant_01,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Bottom_Quadrant_02,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
ColdPlate_CP_100mK_intercept,29066,Cu-66,kept_rescaled,951,5.120,m,5.120,m,307.2,307.2,0.0,PASS
Plate_300K_Top_Service_Lid,13026,Al-26,kept_rescaled,252,717,ky,717,ky,22626799200000.0,22626799200000.0,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,13026,Al-26,kept_rescaled,252,717,ky,717,ky,22626799200000.0,22626799200000.0,0.0,PASS
ColdPlate_MXC_50mK_SD_anchor,29066,Cu-66,kept_rescaled,951,5.120,m,5.120,m,307.2,307.2,0.0,PASS
Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,11025,Na-25,kept_rescaled,238,59.1,s,59.1,s,59.1,59.1,0.0,PASS
Window,11024,Na-24,kept_rescaled,223,14.9560,h,14.9560,h,53841.6,53841.6,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11024,Na-24,kept_rescaled,223,14.9560,h,14.9560,h,53841.6,53841.6,0.0,PASS
DR_Capillary_CuNi_4K_60K,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
Cu_50mK_StillLike_Can_side_wall_below_side_port,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
DR_4K_Condenser_Cu,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
Nb_MagShield_Inner_Back_ColdFingerCap_2mm,41094,Nb-94,kept_rescaled,1563,20.4,ky,20.4,ky,643775040000.0,643775040000.0,0.0,PASS
DR_Capillary_CuNi_Still_4K,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
NbTi_Bundle_bay_to_MXC,41094,Nb-94,kept_rescaled,1563,20.4,ky,20.4,ky,643775040000.0,643775040000.0,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,13026,Al-26,kept_rescaled,252,717,ky,717,ky,22626799200000.0,22626799200000.0,0.0,PASS
CsI_Side_Segment_00,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_side_wall_below_side_port,11025,Na-25,kept_rescaled,238,59.1,s,59.1,s,59.1,59.1,0.0,PASS
CsI_Side_Segment_07,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Side_Segment_01,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Side_Segment_06,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
DR_MixingChamber_Cu,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
DR_Continuous_HEX_CuNi_CP_to_Still,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
CsI_Side_Segment_02,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Side_Segment_05,55134,Cs-134,kept_rescaled,2702,2.0650,y,2.0650,y,65166444.0,65166444.0,0.0,PASS
CsI_Bottom_Quadrant_01,55132,Cs-132,kept_rescaled,2640,6.480,d,6.480,d,559872.0,559872.0,0.0,PASS
MuMetal_MagShield_Outer_Cylinder_2mm,28059,Ni-59,kept_rescaled,818,81,ky,81,ky,2556165600000.0,2556165600000.0,0.0,PASS
CsI_Bottom_Quadrant_00,55132,Cs-132,kept_rescaled,2640,6.480,d,6.480,d,559872.0,559872.0,0.0,PASS
Passive_W_Bottom_Plate_detector_bay,74185,W-185,kept_rescaled,4151,75.1,d,75.1,d,6488639.999999999,6488639.999999999,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,13026,Al-26,kept_rescaled,252,717,ky,717,ky,22626799200000.0,22626799200000.0,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11024,Na-24,kept_rescaled,223,14.9560,h,14.9560,h,53841.6,53841.6,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,11024,Na-24,kept_rescaled,223,14.9560,h,14.9560,h,53841.6,53841.6,0.0,PASS
CsI_Bottom_Quadrant_03,55132,Cs-132,kept_rescaled,2640,6.480,d,6.480,d,559872.0,559872.0,0.0,PASS
NbTi_Bundle_MXC_CP,41094,Nb-94,kept_rescaled,1563,20.4,ky,20.4,ky,643775040000.0,643775040000.0,0.0,PASS
Plate_300K_Top_Service_Lid,11024,Na-24,kept_rescaled,223,14.9560,h,14.9560,h,53841.6,53841.6,0.0,PASS
CsI_Bottom_Quadrant_02,55132,Cs-132,kept_rescaled,2640,6.480,d,6.480,d,559872.0,559872.0,0.0,PASS
DR_Continuous_HEX_CuNi_MXC_to_CP,29064,Cu-64,kept_rescaled,914,12.7004,h,12.7004,h,45721.44,45721.44,0.0,PASS
CsI_Bottom_Quadrant_02,53126,I-126,kept_rescaled,2424,12.93,d,12.93,d,1117152.0,1117152.0,0.0,PASS
NbTi_Bundle_CP_Still,41094,Nb-94,kept_rescaled,1563,20.4,ky,20.4,ky,643775040000.0,643775040000.0,0.0,PASS
DR_Capillary_CuNi_4K_60K,28059,Ni-59,kept_rescaled,818,81,ky,81,ky,2556165600000.0,2556165600000.0,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_side_wall_above_side_port,11025,Na-25,kept_rescaled,238,59.1,s,59.1,s,59.1,59.1,0.0,PASS
CsI_Bottom_Quadrant_01,53126,I-126,kept_rescaled,2424,12.93,d,12.93,d,1117152.0,1117152.0,0.0,PASS
DR_Still_Pot_Cu,29066,Cu-66,kept_rescaled,951,5.120,m,5.120,m,307.2,307.2,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_top_annulus,11025,Na-25,kept_rescaled,238,59.1,s,59.1,s,59.1,59.1,0.0,PASS
CsI_Bottom_Quadrant_00,53126,I-126,kept_rescaled,2424,12.93,d,12.93,d,1117152.0,1117152.0,0.0,PASS
ColdPlate_4K,29062,Cu-62,kept_rescaled,881,9.672,m,9.672,m,580.32,580.32,0.0,PASS
CsI_Bottom_Quadrant_03,53126,I-126,kept_rescaled,2424,12.93,d,12.93,d,1117152.0,1117152.0,0.0,PASS
Outer_Al_Mechanical_Shell_detector_bay_bottom_cap,11025,Na-25,kept_rescaled,238,59.1,s,59.1,s,59.1,59.1,0.0,PASS
Plate_300K_Top_Service_Lid,11025,Na-25,kept_rescaled,238,59.1,s,59.1,s,59.1,59.1,0.0,PASS
CsI_Side_Segment_02,55132,Cs-132,kept_rescaled,2640,6.480,d,6.480,d,559872.0,559872.0,0.0,PASS
Window,29066,Cu-66,kept_rescaled,951,5.120,m,5.120,m,307.2,307.2,0.0,PASS
ColdPlate_60K,13026,Al-26,kept_rescaled,252,717,ky,717,ky,22626799200000.0,22626799200000.0,0.0,PASS
CsI_Side_Segment_01,55132,Cs-132,kept_rescaled,2640,6.480,d,6.480,d,559872.0,559872.0,0.0,PASS
CsI_Side_Segment_05,55132,Cs-132,kept_rescaled,2640,6.480,d,6.480,d,559872.0,559872.0,0.0,PASS
