source_name,theta_min_deg,theta_max_deg,phi_min_deg,phi_max_deg,flux_cm2_s,delta_mu,delta_omega_sr,particle,bin,expected_delta_mu,delta_mu_abs_diff_from_equal_mu,expected_delta_omega_sr,delta_omega_abs_diff
Atm_alpha_bin00_down,0.0,25.842,0.0,360.0,0.001176042179996,0.1000005115192032,0.6283217446879005,alpha,0,0.1,5.11519203189037e-07,0.6283185307179586,3.2139699418509693e-06
Atm_alpha_bin01_down,25.842,36.87,0.0,360.0,0.001197064529584,0.10000056033228821,0.6283220513895591,alpha,1,0.1,5.603322882075101e-07,0.6283185307179586,3.5206716004765326e-06
Atm_alpha_bin02_down,36.87,45.573,0.0,360.0,0.001199557420369,0.09999897801512847,0.6283121093976297,alpha,2,0.1,1.0219848715353752e-06,0.6283185307179586,6.421320328908742e-06
Atm_alpha_bin03_down,45.573,53.13,0.0,360.0,0.001188194835414,0.0999985210007176,0.6283092378913981,alpha,3,0.1,1.4789992824060239e-06,0.6283185307179586,9.292826560480805e-06
Atm_alpha_bin04_down,53.13,60.0,0.0,360.0,0.001166672656944,0.10000142913266241,0.6283275102233051,alpha,4,0.1,1.429132662406074e-06,0.6283185307179586,8.979505346506933e-06
Atm_alpha_bin05_down,60.0,66.422,0.0,360.0,0.001137770761265,0.10000285497617001,0.6283364690622824,alpha,5,0.1,2.854976170002521e-06,0.6283185307179586,1.7938344323731314e-05
Atm_alpha_bin06_down,66.422,72.542,0.0,360.0,0.001103388913908,0.09999053728709167,0.628259074739247,alpha,6,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_alpha_bin07_down,72.542,78.463,0.0,360.0,0.001064512995404,0.10000590717071561,0.628355646566206,alpha,7,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_alpha_bin08_down,78.463,84.261,0.0,360.0,0.001020942748167,0.10000366104174306,0.6283415337216476,alpha,8,0.1,3.661041743055482e-06,0.6283185307179586,2.3003003688959467e-05
Atm_alpha_bin09_down,84.261,90.0,0.0,360.0,0.0009696395335803,0.0999970395242797,0.6282999295004106,alpha,9,0.1,2.9604757203066656e-06,0.6283185307179586,1.8601217548042115e-05
Atm_alpha_bin10_up,90.0,95.739,0.0,360.0,5.410552594902e-05,0.09999703952427969,0.6282999295004105,alpha,10,0.1,2.9604757203205434e-06,0.6283185307179586,1.8601217548153137e-05
Atm_alpha_bin11_up,95.739,101.537,0.0,360.0,4.027571839628e-05,0.10000366104174307,0.6283415337216477,alpha,11,0.1,3.66104174306936e-06,0.6283185307179586,2.300300368907049e-05
Atm_alpha_bin12_up,101.537,107.458,0.0,360.0,3.31912642308e-05,0.10000590717071561,0.628355646566206,alpha,12,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_alpha_bin13_up,107.458,113.578,0.0,360.0,2.827605647333e-05,0.09999053728709167,0.628259074739247,alpha,13,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_alpha_bin14_up,113.578,120.0,0.0,360.0,2.446822338318e-05,0.10000285497616979,0.628336469062281,alpha,14,0.1,2.8549761697804765e-06,0.6283185307179586,1.7938344322399047e-05
Atm_alpha_bin15_up,120.0,126.87,0.0,360.0,2.133964274464e-05,0.10000142913266263,0.6283275102233065,alpha,15,0.1,1.4291326626281187e-06,0.6283185307179586,8.9795053478392e-06
Atm_alpha_bin16_up,126.87,134.427,0.0,360.0,1.867250699452e-05,0.09999852100071771,0.6283092378913988,alpha,16,0.1,1.4789992822950015e-06,0.6283185307179586,9.292826559814671e-06
Atm_alpha_bin17_up,134.427,143.13,0.0,360.0,1.633991610095e-05,0.09999897801512836,0.6283121093976289,alpha,17,0.1,1.0219848716463975e-06,0.6283185307179586,6.421320329685898e-06
Atm_alpha_bin18_up,143.13,154.158,0.0,360.0,1.426088289183e-05,0.1000005603322881,0.6283220513895583,alpha,18,0.1,5.603322880964878e-07,0.6283185307179586,3.5206715996993765e-06
Atm_alpha_bin19_up,154.158,180.0,0.0,360.0,1.238013843617e-05,0.10000051151920342,0.6283217446879019,alpha,19,0.1,5.115192034110816e-07,0.6283185307179586,3.2139699432942592e-06
Atm_eminus_bin00_down,0.0,25.842,0.0,360.0,0.003082979360568,0.1000005115192032,0.6283217446879005,eminus,0,0.1,5.11519203189037e-07,0.6283185307179586,3.2139699418509693e-06
Atm_eminus_bin01_down,25.842,36.87,0.0,360.0,0.003849602225368,0.10000056033228821,0.6283220513895591,eminus,1,0.1,5.603322882075101e-07,0.6283185307179586,3.5206716004765326e-06
Atm_eminus_bin02_down,36.87,45.573,0.0,360.0,0.004665889685647,0.09999897801512847,0.6283121093976297,eminus,2,0.1,1.0219848715353752e-06,0.6283185307179586,6.421320328908742e-06
Atm_eminus_bin03_down,45.573,53.13,0.0,360.0,0.005543839545185,0.0999985210007176,0.6283092378913981,eminus,3,0.1,1.4789992824060239e-06,0.6283185307179586,9.292826560480805e-06
Atm_eminus_bin04_down,53.13,60.0,0.0,360.0,0.00650079374671,0.10000142913266241,0.6283275102233051,eminus,4,0.1,1.429132662406074e-06,0.6283185307179586,8.979505346506933e-06
Atm_eminus_bin05_down,60.0,66.422,0.0,360.0,0.007563355220854,0.10000285497617001,0.6283364690622824,eminus,5,0.1,2.854976170002521e-06,0.6283185307179586,1.7938344323731314e-05
Atm_eminus_bin06_down,66.422,72.542,0.0,360.0,0.008775876267653,0.09999053728709167,0.628259074739247,eminus,6,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_eminus_bin07_down,72.542,78.463,0.0,360.0,0.01022221339029,0.10000590717071561,0.628355646566206,eminus,7,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_eminus_bin08_down,78.463,84.261,0.0,360.0,0.01209929431926,0.10000366104174306,0.6283415337216476,eminus,8,0.1,3.661041743055482e-06,0.6283185307179586,2.3003003688959467e-05
Atm_eminus_bin09_down,84.261,90.0,0.0,360.0,0.01517745942405,0.0999970395242797,0.6282999295004106,eminus,9,0.1,2.9604757203066656e-06,0.6283185307179586,1.8601217548042115e-05
Atm_eminus_bin10_up,90.0,95.739,0.0,360.0,0.02066710752001,0.09999703952427969,0.6282999295004105,eminus,10,0.1,2.9604757203205434e-06,0.6283185307179586,1.8601217548153137e-05
Atm_eminus_bin11_up,95.739,101.537,0.0,360.0,0.0175085075812,0.10000366104174307,0.6283415337216477,eminus,11,0.1,3.66104174306936e-06,0.6283185307179586,2.300300368907049e-05
Atm_eminus_bin12_up,101.537,107.458,0.0,360.0,0.01537121971023,0.10000590717071561,0.628355646566206,eminus,12,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_eminus_bin13_up,107.458,113.578,0.0,360.0,0.01363397540425,0.09999053728709167,0.628259074739247,eminus,13,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_eminus_bin14_up,113.578,120.0,0.0,360.0,0.01212613739141,0.10000285497616979,0.628336469062281,eminus,14,0.1,2.8549761697804765e-06,0.6283185307179586,1.7938344322399047e-05
Atm_eminus_bin15_up,120.0,126.87,0.0,360.0,0.01077172194223,0.10000142913266263,0.6283275102233065,eminus,15,0.1,1.4291326626281187e-06,0.6283185307179586,8.9795053478392e-06
Atm_eminus_bin16_up,126.87,134.427,0.0,360.0,0.009529138828057,0.09999852100071771,0.6283092378913988,eminus,16,0.1,1.4789992822950015e-06,0.6283185307179586,9.292826559814671e-06
Atm_eminus_bin17_up,134.427,143.13,0.0,360.0,0.008372725337717,0.09999897801512836,0.6283121093976289,eminus,17,0.1,1.0219848716463975e-06,0.6283185307179586,6.421320329685898e-06
Atm_eminus_bin18_up,143.13,154.158,0.0,360.0,0.007285340265368,0.1000005603322881,0.6283220513895583,eminus,18,0.1,5.603322880964878e-07,0.6283185307179586,3.5206715996993765e-06
Atm_eminus_bin19_up,154.158,180.0,0.0,360.0,0.006254867406085,0.10000051151920342,0.6283217446879019,eminus,19,0.1,5.115192034110816e-07,0.6283185307179586,3.2139699432942592e-06
Atm_eplus_bin00_down,0.0,25.842,0.0,360.0,0.001045762145133,0.1000005115192032,0.6283217446879005,eplus,0,0.1,5.11519203189037e-07,0.6283185307179586,3.2139699418509693e-06
Atm_eplus_bin01_down,25.842,36.87,0.0,360.0,0.001622214660656,0.10000056033228821,0.6283220513895591,eplus,1,0.1,5.603322882075101e-07,0.6283185307179586,3.5206716004765326e-06
Atm_eplus_bin02_down,36.87,45.573,0.0,360.0,0.002246511348448,0.09999897801512847,0.6283121093976297,eplus,2,0.1,1.0219848715353752e-06,0.6283185307179586,6.421320328908742e-06
Atm_eplus_bin03_down,45.573,53.13,0.0,360.0,0.002930304069038,0.0999985210007176,0.6283092378913981,eplus,3,0.1,1.4789992824060239e-06,0.6283185307179586,9.292826560480805e-06
Atm_eplus_bin04_down,53.13,60.0,0.0,360.0,0.003690478084777,0.10000142913266241,0.6283275102233051,eplus,4,0.1,1.429132662406074e-06,0.6283185307179586,8.979505346506933e-06
Atm_eplus_bin05_down,60.0,66.422,0.0,360.0,0.004553013553733,0.10000285497617001,0.6283364690622824,eplus,5,0.1,2.854976170002521e-06,0.6283185307179586,1.7938344323731314e-05
Atm_eplus_bin06_down,66.422,72.542,0.0,360.0,0.005561379836456,0.09999053728709167,0.628259074739247,eplus,6,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_eplus_bin07_down,72.542,78.463,0.0,360.0,0.006798129507522,0.10000590717071561,0.628355646566206,eplus,7,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_eplus_bin08_down,78.463,84.261,0.0,360.0,0.008458274801601,0.10000366104174306,0.6283415337216476,eplus,8,0.1,3.661041743055482e-06,0.6283185307179586,2.3003003688959467e-05
Atm_eplus_bin09_down,84.261,90.0,0.0,360.0,0.01131200914123,0.0999970395242797,0.6282999295004106,eplus,9,0.1,2.9604757203066656e-06,0.6283185307179586,1.8601217548042115e-05
Atm_eplus_bin10_up,90.0,95.739,0.0,360.0,0.01383987094306,0.09999703952427969,0.6282999295004105,eplus,10,0.1,2.9604757203205434e-06,0.6283185307179586,1.8601217548153137e-05
Atm_eplus_bin11_up,95.739,101.537,0.0,360.0,0.01117720777379,0.10000366104174307,0.6283415337216477,eplus,11,0.1,3.66104174306936e-06,0.6283185307179586,2.300300368907049e-05
Atm_eplus_bin12_up,101.537,107.458,0.0,360.0,0.009420504124204,0.10000590717071561,0.628355646566206,eplus,12,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_eplus_bin13_up,107.458,113.578,0.0,360.0,0.00801357028382,0.09999053728709167,0.628259074739247,eplus,13,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_eplus_bin14_up,113.578,120.0,0.0,360.0,0.006805406690707,0.10000285497616979,0.628336469062281,eplus,14,0.1,2.8549761697804765e-06,0.6283185307179586,1.7938344322399047e-05
Atm_eplus_bin15_up,120.0,126.87,0.0,360.0,0.005729266489743,0.10000142913266263,0.6283275102233065,eplus,15,0.1,1.4291326626281187e-06,0.6283185307179586,8.9795053478392e-06
Atm_eplus_bin16_up,126.87,134.427,0.0,360.0,0.004748821783872,0.09999852100071771,0.6283092378913988,eplus,16,0.1,1.4789992822950015e-06,0.6283185307179586,9.292826559814671e-06
Atm_eplus_bin17_up,134.427,143.13,0.0,360.0,0.003841761777568,0.09999897801512836,0.6283121093976289,eplus,17,0.1,1.0219848716463975e-06,0.6283185307179586,6.421320329685898e-06
Atm_eplus_bin18_up,143.13,154.158,0.0,360.0,0.002993244091673,0.1000005603322881,0.6283220513895583,eplus,18,0.1,5.603322880964878e-07,0.6283185307179586,3.5206715996993765e-06
Atm_eplus_bin19_up,154.158,180.0,0.0,360.0,0.002192814615731,0.10000051151920342,0.6283217446879019,eplus,19,0.1,5.115192034110816e-07,0.6283185307179586,3.2139699432942592e-06
Atm_gamma_bin00_down,0.0,25.842,0.0,360.0,0.04323745326736,0.1000005115192032,0.6283217446879005,gamma,0,0.1,5.11519203189037e-07,0.6283185307179586,3.2139699418509693e-06
Atm_gamma_bin01_down,25.842,36.87,0.0,360.0,0.05695983240931,0.10000056033228821,0.6283220513895591,gamma,1,0.1,5.603322882075101e-07,0.6283185307179586,3.5206716004765326e-06
Atm_gamma_bin02_down,36.87,45.573,0.0,360.0,0.07120765493338,0.09999897801512847,0.6283121093976297,gamma,2,0.1,1.0219848715353752e-06,0.6283185307179586,6.421320328908742e-06
Atm_gamma_bin03_down,45.573,53.13,0.0,360.0,0.08612491504375,0.0999985210007176,0.6283092378913981,gamma,3,0.1,1.4789992824060239e-06,0.6283185307179586,9.292826560480805e-06
Atm_gamma_bin04_down,53.13,60.0,0.0,360.0,0.1019197897684,0.10000142913266241,0.6283275102233051,gamma,4,0.1,1.429132662406074e-06,0.6283185307179586,8.979505346506933e-06
Atm_gamma_bin05_down,60.0,66.422,0.0,360.0,0.1189113247918,0.10000285497617001,0.6283364690622824,gamma,5,0.1,2.854976170002521e-06,0.6283185307179586,1.7938344323731314e-05
Atm_gamma_bin06_down,66.422,72.542,0.0,360.0,0.1376301465793,0.09999053728709167,0.628259074739247,gamma,6,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_gamma_bin07_down,72.542,78.463,0.0,360.0,0.1590750875935,0.10000590717071561,0.628355646566206,gamma,7,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_gamma_bin08_down,78.463,84.261,0.0,360.0,0.1855743690582,0.10000366104174306,0.6283415337216476,gamma,8,0.1,3.661041743055482e-06,0.6283185307179586,2.3003003688959467e-05
Atm_gamma_bin09_down,84.261,90.0,0.0,360.0,0.2261108736236,0.0999970395242797,0.6282999295004106,gamma,9,0.1,2.9604757203066656e-06,0.6283185307179586,1.8601217548042115e-05
Atm_gamma_bin10_up,90.0,95.739,0.0,360.0,0.4652308488518,0.09999703952427969,0.6282999295004105,gamma,10,0.1,2.9604757203205434e-06,0.6283185307179586,1.8601217548153137e-05
Atm_gamma_bin11_up,95.739,101.537,0.0,360.0,0.4170179593624,0.10000366104174307,0.6283415337216477,gamma,11,0.1,3.66104174306936e-06,0.6283185307179586,2.300300368907049e-05
Atm_gamma_bin12_up,101.537,107.458,0.0,360.0,0.3895986108144,0.10000590717071561,0.628355646566206,gamma,12,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_gamma_bin13_up,107.458,113.578,0.0,360.0,0.3697937703255,0.09999053728709167,0.628259074739247,gamma,13,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_gamma_bin14_up,113.578,120.0,0.0,360.0,0.3542574628794,0.10000285497616979,0.628336469062281,gamma,14,0.1,2.8549761697804765e-06,0.6283185307179586,1.7938344322399047e-05
Atm_gamma_bin15_up,120.0,126.87,0.0,360.0,0.341568543059,0.10000142913266263,0.6283275102233065,gamma,15,0.1,1.4291326626281187e-06,0.6283185307179586,8.9795053478392e-06
Atm_gamma_bin16_up,126.87,134.427,0.0,360.0,0.3309762940732,0.09999852100071771,0.6283092378913988,gamma,16,0.1,1.4789992822950015e-06,0.6283185307179586,9.292826559814671e-06
Atm_gamma_bin17_up,134.427,143.13,0.0,360.0,0.3220307329032,0.09999897801512836,0.6283121093976289,gamma,17,0.1,1.0219848716463975e-06,0.6283185307179586,6.421320329685898e-06
